circ-ZNF264,miR-4493
circ-ZNF609,miR-150
circ-ZNF609,miR-186-5p
circ-ZNF652,miR-205
ciRS-133,miR-133
ciRs-6,miR-653
cMras,miR-567
cTFRC,miR-107
hsa_circ_0015756,miR-1250-3p
hsa_circ_0000003,miR-338-3p
hsa_circ_0000073,miR-143
hsa_circ_0000092,miR-338-3p
hsa_circ_0000140,miR-31
hsa_circ_0000144,miR-217
hsa_circ_00001666,miR-1229
hsa_circ_0000177,miR-638
hsa_circ_0000190,miR-767-5p
hsa_circ_0000199,miR-198
hsa_circ_0000204,miR-191
hsa_circ_0000218,miR-139-3p
hsa_circ_0000263,miR-150-5p
hsa_circ_0000267,miR-503-5p
hsa_circ_0000284,miR-124
hsa_circ_0000284,miR-379
hsa_circ_0000284,miR-7
hsa_circ_0000291,miR-183
hsa_circ_0000337,miR-670-5p
hsa_circ_0000376,miR-375
hsa_circ_0000408,miR-136-5p
hsa_circ_0000467,miR-326-3p
hsa_circ_0000488,miR-496
hsa_circ_0000495,miR-488-3p
hsa_circ_0000515,miR-326
hsa_circ_0000523,miR-31
hsa_circ_0000554,miR-30c-1*
hsa_circ_0000554,miR-1912
hsa_circ_0000554,miR-339-5p
hsa_circ_0000554,miR-139-3p
hsa_circ_0000554,miR-122*
hsa_circ_0000554,miR-30c-2*
hsa_circ_0000567,miR-421
hsa_circ_0000592,miR-139-3p
hsa_circ_0000592,miR-33a-3p
hsa_circ_0000592,miR-367-3p
hsa_circ_0000592,miR-200
hsa_circ_0000594,miR-217
hsa_circ_0000654,miR-149-5p
hsa_circ_0000673,miR-532-5p
hsa_circ_0000673,miR-767-3p
hsa_circ_0000729,miR-375
hsa_circ_0000735,miR-1179
hsa_circ_0000735,miR-1182
hsa_circ_0000792,miR-375
hsa_circ_0000799,miR-31-5p
hsa_circ_0000911,miR-1271
hsa_circ_0000977,miR-153
hsa_circ_0000977,miR-874-3p
hsa_circ_0000993,miR-214-5p
hsa_circ_0001038,miR-337-3p
hsa_circ_0001073,miR-626
hsa_circ_0001098,miR-3942-3p
hsa_circ_0001098,miR-4760-3p
hsa_circ_0001105,miR-766
hsa_circ_0001178,miR-382
hsa_circ_0001206,miR-1285-5p
hsa_circ_0001313,miR-338-3p
hsa_circ_0001361,miR-491-5p
hsa_circ_0001368,miR-6506-5p
hsa_circ_0001427,miR-181c-5p
hsa_circ_0001429,miR-205-5p
hsa_circ_0001445,miR-620
hsa_circ_0001451,miR-197-3p
hsa_circ_0001461,miR-548g
hsa_circ_0001546,miR-421
hsa_circ_0001564,miR-29c-3p
hsa_circ_0001649,miR-127-5p
hsa_circ_0001649,miR-4688
hsa_circ_0001649,miR-612
hsa_circ_0001649,miR-331-3p
hsa_circ_0001649,miR-338-5p
hsa_circ_0001658,miR-375
hsa_circ_0001658,miR-382-5p
hsa_circ_0001721,miR-569
hsa_circ_0001721,miR-599
hsa_circ_0001725,miR-150-5p
hsa_circ_0001727,miR-330-5p
hsa_circ_0001742,miR-431-5p
hsa_circ_0001772,miR-149
hsa_circ_0001785,miR-1200
hsa_circ_0001801,miR-224-5p
hsa_circ_0001801,miR-628-5p
hsa_circ_0001821,let-7
hsa_circ_0001846,miR-661
hsa_circ_0001897,miR-150-5p
hsa_circ_0001900,miR-328-5p
hsa_circ_0001946,miR-135a-5p
hsa_circ_0001946,miR-671-5p
hsa_circ_0001946,miR-7
hsa_circ_0001955,miR-145-5p
hsa_circ_0001955,miR-516a-5p
hsa_circ_0001971,miR-194
hsa_circ_0001971,miR-204
hsa_circ_0001982,miR-143
hsa_circ_0002052,miR-382
hsa_circ_0002142,miR-625-5p
hsa_circ_0002185,miR-526b-5p
hsa_circ_0002211,miR-31-5p
hsa_circ_0002346,miR-93
hsa_circ_0002346,miR-182
hsa_circ_0002453,miR-208a
hsa_circ_0002453,miR-3164
hsa_circ_0002577,miR-197
hsa_circ_0002768,miR-29a
hsa_circ_0003028,miR-570-3p
hsa_circ_0003028,miR-552-3p
hsa_circ_0003028,miR-17-3p
hsa_circ_0003258,miR-203
hsa_circ_0003258,miR-502-5p
hsa_circ_0003645,miR-1179
hsa_circ_0003855,miR-145-5p
hsa_circ_0003998,miR-326
hsa_circ_0004015,miR-1183
hsa_circ_0004214,miR-485-5p
hsa_circ_0004390,miR-198
hsa_circ_0004458,miR-885-5p
hsa_circ_0004771,miR-339-5p
hsa_circ_0004771,miR-653
hsa_circ_0004846,miR-1244
hsa_circ_0004928,miR-375
hsa_circ_0005027,miR-548c-3p
hsa_circ_0005075,miR-335
hsa_circ_0005100,miR-1182
hsa_circ_0005198,miR-1294
hsa_circ_0005230,miR-1238
hsa_circ_0005230,miR-1299
hsa_circ_0005230,miR-618
hsa_circ_0005239,miR-34a
hsa_circ_0005273,miR-1183
hsa_circ_0005576,miR-153-3p
hsa_circ_0005963,miR-122
hsa_circ_0005986,miR-129-5p
hsa_circ_0006168,miR-100
hsa_circ_0006168,miR-384
hsa_circ_0006215,miR-378a-3p
hsa_circ_0006282,miR-155
hsa_circ_0006404,miR-29a-3p
hsa_circ_0006427,miR-6783-3p
hsa_circ_0006528,miR-7-5p
hsa_circ_0006848,miR-329-5p
hsa_circ_0006916,miR-522-3p
hsa_circ_0006948,miR-490-3p
hsa_circ_0006990,miR-101-3p
hsa_circ_0007059,miR-378
hsa_circ_0007255,miR-335-5p
hsa_circ_0007294,miR-148a-3p
hsa_circ_0007294,miR-152-3p
hsa_circ_0007385,miR-181
hsa_circ_0007534,miR-892b
hsa_circ_0007534,miR-625
hsa_circ_0007534,miR-498
hsa_circ_0007534,miR-593
hsa_circ_0007534,miR-613
hsa_circ_0007534,miR-761
hsa_circ_0007843,miR-518c-5p
hsa_circ_0007874,miR-760
hsa_circ_0007915,miR-659-3p
hsa_circ_0007915,miR-106a-3p
hsa_circ_0007915,miR-424-5p
hsa_circ_0008039,miR-515-5p
hsa_circ_0008106,miR-16-5p
hsa_circ_0008225,miR-890
hsa_circ_0008234,miR-370
hsa_circ_0008287,miR-548c-3p
hsa_circ_0008305,miR-429
hsa_circ_0008305,miR-200b-3p
hsa_circ_0008309,miR-1290
hsa_circ_0008309,miR-382-5p
hsa_circ_0008309,miR-136-5p
hsa_circ_0008365,miR-375
hsa_circ_000839,miR-200b
hsa_circ_0008450,miR-548p
hsa_circ_0008450,miR-577
hsa_circ_0008549,miR-136-5p
hsa_circ_0008717,miR-1252
hsa_circ_0008717,miR-1271
hsa_circ_0008792,miR-711
hsa_circ_000926,miR-411
hsa_circ_0009361,miR-582
hsa_circ_0009362,miR-141-5p
hsa_circ_0009910,miR-20a-5p
hsa_circ_0009910,miR-335-5p
hsa_circ_0009910,miR-449a
hsa_circ_0011385,miR-361-3p
hsa_circ_0011780,miR-544a
hsa_circ_0012129,miR-661
hsa_circ_0012342,let-7e-5p
hsa_circ_0012342,miR-214-3p
hsa_circ_0012342,miR-107
hsa_circ_0012384,miR-302e
hsa_circ_0012673,miR-22
hsa_circ_0012673,miR-320a
hsa_circ_0013958,miR-134
hsa_circ_0014130,miR-566
hsa_circ_0014130,miR-600
hsa_circ_0014130,miR-671-5p
hsa_circ_0014359,miR-153
hsa_circ_0015278,miR-141-3p
hsa_circ_0015278,miR-200a-3p
hsa_circ_001569,miR-145
hsa_circ_001569,miR-411-5p
hsa_circ_001569,miR-432-5p
hsa_circ_0015756,miR-7
hsa_circ_0015758,miR-149
hsa_circ_001598,miR-101
hsa_circ_001653,miR-377
hsa_circ_0016760,miR-1287
hsa_circ_0016788,miR-486
hsa_circ_0017247,miR-145
hsa_circ_001783,miR-200c-3p
hsa_circ_0018069,miR-23c
hsa_circ_0018069,miR-3666
hsa_circ_0018069,miR-454-3p
hsa_circ_0018069,miR-181b-5p
hsa_circ_0018069,miR-34a-5p
hsa_circ_001895,miR-296-5p
hsa_circ_0020123,miR-488-3p
hsa_circ_0020123,miR-144
hsa_circ_0020397,miR-138
hsa_circ_0020732,miR-665
hsa_circ_0021093,miR-766-3p
hsa_circ_002136,miR-138-5p
hsa_circ_0023303,miR-646
hsa_circ_0023404,miR-5047
hsa_circ_0025033,miR-1231
hsa_circ_0025033,miR-1304
hsa_circ_0025036,miR-198
hsa_circ_0025039,miR-198
hsa_circ_0025202,miR-182-5p
hsa_circ_0026134,miR-1256
hsa_circ_0026134,miR-1287
hsa_circ_0026344,miR-21
hsa_circ_0026344,miR-31
hsa_circ_0027599,miR-101-3p
hsa_circ_0030235,miR-1253
hsa_circ_0030235,miR-1294
hsa_circ_0031288,miR-139-3p
hsa_circ_0032627,miR-502-5p
hsa_circ_0033550,miR-942-5p
hsa_circ_0034642,miR-1205
hsa_circ_0035483,miR-335
hsa_circ_0037251,miR-1229-3p
hsa_circ_0037655,miR-214
hsa_circ_0039411,miR-136-5p
hsa_circ_0039569,miR-542-3p
hsa_circ_0039569,let-7c-5p
hsa_circ_0041103,miR-103a-3p
hsa_circ_0041103,miR-107
hsa_circ_0042666,miR-223
hsa_circ_0043256,miR-1252
hsa_circ_0043278,miR-203a-3p
hsa_circ_0043278,miR-520f
hsa_circ_0043949,miR-7161-3p
hsa_circ_0043949,miR-5195-3p
hsa_circ_0043949,miR-140-3p
hsa_circ_0043949,miR-1257
hsa_circ_0043949,miR-6783-3p
hsa_circ_0044520,miR-4726-5p
hsa_circ_0044529,miR-4640-5p
hsa_circ_0046264,miR-1245
hsa_circ_0046600,miR-640
hsa_circ_0046701,miR-142-3p
hsa_circ_0047688,miR-125a-3p
hsa_circ_0051079,miR-26a-5p
hsa_circ_0051240,miR-637
hsa_circ_0051443,miR-331-3p
hsa_circ_0052112,miR-125a-5p
hsa_circ_0053277,miR-2467-3p
hsa_circ_0055625,miR-106b-5p
hsa_circ_0056288,miR-125b-5p
hsa_circ_0056618,miR-206
hsa_circ_0056836,miR-766-3p
hsa_circ_0057481,miR-200c
hsa_circ_0057558,miR-6884
hsa_circ_0058063,miR-145-5p
hsa_circ_0058092,miR-4269
hsa_circ_0058124,miR-940
hsa_circ_0059354,miR-302b-3p
hsa_circ_0059655,miR-338-3p
hsa_circ_0060060,miR-144-3p
hsa_circ_0060428,miR-375
hsa_circ_0060456,miR-16-5p
hsa_circ_0060467,miR-361-3p
hsa_circ_006100,miR-195
hsa_circ_0061140,miR-149-5p
hsa_circ_0061825,miR-326
hsa_circ_0061868,miR-7-5p
hsa_circ_0062019,miR-5008
hsa_circ_0062389,miR-103a-3p
hsa_circ_0067835,miR-1236-3p
hsa_circ_0067934,miR-1304
hsa_circ_0067934,miR-1324
hsa_circ_0067934,miR-545
hsa_circ_0067934,miR-589
hsa_circ_0067997,miR-515-5p
hsa_circ_0068033,miR-659
hsa_circ_0068871,miR-181a-5p
hsa_circ_0070269,miR-182
hsa_circ_0070934,miR-1238
hsa_circ_0070934,miR-1247-5p
hsa_circ_0071410,miR-9-5p
hsa_circ_0071589,miR-600
hsa_circ_0071662,miR-146b-3p
hsa_circ_0072083,miR-545-3p
hsa_circ_0072088,miR-532-3p
hsa_circ_0072309,miR-100
hsa_circ_0072309,miR-492
hsa_circ_0072309,miR-580-3p
hsa_circ_0072387,miR-503-5p
hsa_circ_0072391,miR-503-5p
hsa_circ_0072995,miR-30c-2-3p
hsa_circ_0073237,miR-1183
hsa_circ_0074026,miR-1304
hsa_circ_0074027,miR-185-3p
hsa_circ_0074027,miR-518a-5p
hsa_circ_0074362,miR-1236-3p
hsa_circ_0075341,miR-149-5p
hsa_circ_0075828,miR-1224-5p
hsa_circ_0076248,miR-181a
hsa_circ_0076305,miR-296-5p
hsa_circ_0078710,miR-31
hsa_circ_0078767,miR-330-3p
hsa_circ_0079593,miR-182
hsa_circ_0079593,miR-433
hsa_circ_0079993,miR-203a-3p.1
hsa_circ_0080145,miR-29b
hsa_circ_0081143,miR-646
hsa_circ_0082374,let-7
hsa_circ_0084043,miR-429
hsa_circ_0087862,miR-1253
hsa_circ_0088732,miR-661
hsa_circ_0091570,miR-1307
hsa_circ_0091579,miR-490-3p
hsa_circ_0091581,miR-526b
hsa_circ_0091581,miR-526c
hsa_circ_0092012,miR-486-3p
hsa_circ_0092303,miR-331-3p
hsa_circ_0092306,miR-197-3p
hsa_circ_0092509,miR-448
hsa_circ_0093996,miR-183
hsa_circ_009755,miR-585-5p
hsa_circ_009755,miR-29a-5p
hsa_circ_009755,miR-6079
hsa_circ_0099999,miR-335-5p
hsa_circ_0101432,miR-1258
hsa_circ_0101432,miR-622
hsa_circ_0102049,miR-1304-5p
hsa_circ_0103552,miR-1236
hsa_circ_0103809,miR-490-5p
hsa_circ_0127621,miR-888
hsa_circ_0136666,miR-1299
hsa_circ_0136666,miR-136
hsa_circ_0137008,miR-338-5p
hsa_circ_0137439,miR-142-5p
hsa_circ_0137606,miR-1231
hsa_circ_0141940,miR-29a
hsa_circ_081069,miR-665
hsa_circ_100219,miR-485-3p
hsa_circ_100242,miR-145-5p
hsa_circ_100290,miR-203
hsa_circ_100338,miR-141-3p
hsa_circ_100395,miR-1228
hsa_circ_101280,miR-375
hsa_circ_101555,miR-597-5p
hsa_circ_103809,miR-620
hsa_circ_103973,miR-335
hsa_circ_104075,miR-582-3p
hsa_circ_CSPP1,miR-361-5p
hsa_circRNA_000479,miR-4753
hsa_circRNA_000479,miR-6809
hsa_circRNA_0007334,miR-577
hsa_circRNA_0007334,miR-144-3p
hsa_circRNA_0007874,miR-9
hsa_circRNA_001654,miR-520a-5p
hsa_circRNA_002178,miR-328-3p
hsa_circRNA_004662,miR-4520-2-3p
hsa_circRNA_004662,miR-4659b-3p
hsa_circRNA_004662,miR-4713-5p
hsa_circRNA_004662,miR-208b-5p
hsa_circRNA_008068,miR-145-3p
hsa_circRNA_014213,miR-6812-5p
hsa_circRNA_014213,miR-5088-5p
hsa_circRNA_014213,miR-5572
hsa_circRNA_014213,miR-608
hsa_circRNA_014213,miR-6819-5p
hsa_circRNA_046843,miR-4524a-5p
hsa_circRNA_046843,miR-942-5p
hsa_circRNA_046843,miR-876-5p
hsa_circRNA_046843,miR-3911
hsa_circRNA_046843,miR-4753-3p
hsa_circRNA_061346,miR-4778-3p
hsa_circRNA_061346,miR-103a-2-5p
hsa_circRNA_061346,miR-877-3p
hsa_circRNA_061346,miR-5193
hsa_circRNA_061346,miR-5196-3p
hsa_circRNA_086376,miR-7
hsa_circRNA_091420,miR-145-5p
hsa_circRNA_100533,miR-933
hsa_circRNA_100833,miR-498
hsa_circRNA_100833,miR-765
hsa_circRNA_100833,miR-139b-5p
hsa_circRNA_100833,miR-665
hsa_circRNA_100833,miR-495-3p
hsa_circRNA_100834,miR-873-5p
hsa_circRNA_100834,miR-299-3p
hsa_circRNA_100834,miR-93-3p
hsa_circRNA_100834,miR-181a-2-3p
hsa_circRNA_100834,miR-23b-5p
hsa_circRNA_100933,miR-1298-3p
hsa_circRNA_100933,miR-514a-5p
hsa_circRNA_100933,miR-137
hsa_circRNA_100933,miR-2113
hsa_circRNA_100933,miR-892b
hsa_circRNA_101408,miR-136-5p
hsa_circRNA_101408,miR-500a-5p
hsa_circRNA_101408,miR-578
hsa_circRNA_101408,miR-34b-5p
hsa_circRNA_101408,miR-449c-5p
hsa_circRNA_101764,miR-181
hsa_circRNA_101981,miR-145-5p
hsa_circRNA_101996,miR-145-5p
hsa_circRNA_101996,miR-8075
hsa_circRNA_102116,miR-518f-3p
hsa_circRNA_102336,miR-515-5p
hsa_circRNA_102761,miR-7
hsa_circRNA_103595,miR-1275
hsa_circRNA_103809,miR-4302
hsa_circRNA_104310,miR-499a-3p
hsa_circRNA_104310,miR-489-3p
hsa_circRNA_104310,miR-197-3p
hsa_circRNA_104310,miR-216a-3p
hsa_circRNA_104310,miR-1271-3p
hsa_circRNA_105055,miR-7
hsa_circRNA_406557,miR-145-3p
